term.label,narrower,broader
http://id.nlm.nih.gov/mesh/2019/C000621962 | GPR39-C3 | TC-G 1008 | N-(3-chloro-4-(((2-(methylamino)-6-(2-pyridinyl)-4-pyrimidinyl)amino)methyl)phenyl)methanesulfonamide
http://id.nlm.nih.gov/mesh/2019/C000622719 | HG-10-102-01 | (11C)HG-10-102-01 | (4-((5-chloro-4-(methylamino)pyrimidin-2-yl)amino)-3-methoxyphenyl)(morpholino)methanone
http://id.nlm.nih.gov/mesh/2019/C000623389 | TASP0410699 | 11C-TASP0410699 | N-tert-butyl-2-(2-(6-methoxypyridine-2-yl)-6-(3-(morpholin-4-yl)propoxy)-4-oxopyrido(2,3-d)pyrimidin-3(4H)-yl)acetamide
http://id.nlm.nih.gov/mesh/2019/C000601125 | enoxyphol | 2-(3,4-dihydroxyphenyl)-9-diethylaminoethylimidazo(1,2-a)benzimidazole dihydrobromide | 2-(3,4-dihydroxyphenyl)-9-diethylaminoethylimidazo(1,2-a)benzimidazole
http://id.nlm.nih.gov/mesh/2019/C000601736 | CC-223 | CC0482223 | 7-(6-(2-hydroxypropan-2-yl)pyridin-3-yl)-1-(4-methoxycyclohexyl)-3,4-dihydropyrazino(2,3-b)pyrazin-2(1H)-one
http://id.nlm.nih.gov/mesh/2019/C000601750 | ridinilazole | SMT19969 | (2,2' bis(4-pyridyl) 3H,3'H 5,5' bibenzimidazole
http://id.nlm.nih.gov/mesh/2019/C000602794 | RS-016 | (11C)RS-016 | N-(1-adamantyl)-1-(2-ethoxyethyl)-8-methoxy-4-oxo-1,4-dihydroquinoline-3-carboxamide
http://id.nlm.nih.gov/mesh/2019/C000603350 | NBD-11021 | NBD-11021A | 5-(4-chlorophenyl)-N-((5-(hydroxymethyl)-4-methylthiazol-2-yl)(piperidin-2-yl)methyl)-1H-pyrrole-2-carboxamide
http://id.nlm.nih.gov/mesh/2019/C000603350 | NBD-11021 | NBD-11021B | 5-(4-chlorophenyl)-N-((5-(hydroxymethyl)-4-methylthiazol-2-yl)(piperidin-2-yl)methyl)-1H-pyrrole-2-carboxamide
http://id.nlm.nih.gov/mesh/2019/C000603360 | gemilukast | ONO-6950 | 4,4'-(4-fluoro-7-(2-(4-(4-(3-fluoro-2-methylphenyl)butoxy)phenyl)ethynyl)-2-methyl-1H-indole-1,3-diyl)dibutanoic acid
http://id.nlm.nih.gov/mesh/2019/C000603972 | molidustat | BAY 85-3934 | 2-(6-(morpholin-4-yl)pyrimidin-4-yl)-4-(1H-1,2,3-triazol-1-yl)-1,2-dihydro-3H-pyrazol-3-one
http://id.nlm.nih.gov/mesh/2019/C000603978 | valbenazine | NBI-98854 | valine 1,3,4,6,7,11b-hexahydro-9,10-dimethoxy-3-(2-methylpropyl)-2H-benzo(a)quinolizin-2-yl ester
http://id.nlm.nih.gov/mesh/2019/C000604151 | PMX-500FI | lipoyl-L-carnitine methyl ester iodide | 2-((5-(1,2-dithiolan-3-yl)pentanoyl)oxy)-4-methoxy-N,N,N-trimethyl-4-oxobutan-1-aminium
http://id.nlm.nih.gov/mesh/2019/C000604234 | F3406-2010 | F3406 compound | N-(3,5-bis(fluoranyl)phenyl)-2-(5,7-bis(oxidanylidene)-6-propyl-2-pyrrolidin-1-yl-(1,3)thiazolo(4,5-d)pyrimidin-4-yl)ethanamide
http://id.nlm.nih.gov/mesh/2019/C000604642 | BU99018 | (18F)FEBU | 2-(4,5-dihydro-1H-imidazol-2-yl)-1-(2-fluoroethyl)-1H-indole
http://id.nlm.nih.gov/mesh/2019/C000603877 | L-allo-enduracididine | L-enduracididine | enduracididine
http://id.nlm.nih.gov/mesh/2019/C000602562 | CH5183284 | Debio 1347 | (5-amino-1-(2-methyl-3H-benzimidazol-5-yl)pyrazol-4-yl)-(1H-indol-2-yl)methanon
http://id.nlm.nih.gov/mesh/2019/C000599718 | GSK1278863 | daprodustat | 2-(1,3-dicyclohexyl-6-hydroxy-2,4-dioxo-1,2,3,4-tetrahydropyrimidine-5-carboxamido)acetic acid
http://id.nlm.nih.gov/mesh/2019/C000606714 | PF-5190457 | PF-05190457 | 2-(2-methylimidazo(2,1-b)(1,3)thiazol-6-yl)-1-(2-(5-(6-methylpyrimidin-4-yl)-2,3-dihydro-1H-inden-1-yl)-2,7-diazaspiro(3.5)non-7-ylethanone
http://id.nlm.nih.gov/mesh/2019/C000607068 | FR900359 | UBO-QIC | L-threonine,(3R)-N-acetyl-3-hydroxy-L-leucyl-(aR)-a-hydroxybenzenepropanoyl-2,3-idehydro-N-methylalanyl-L-alanyl-N-methyl-L-alanyl-(3R)-3-(((2S,3R)-3-hydroxy-4-methyl-1-oxo-2-((1-oxopropyl)amino)pentyl)oxy)-L-leucyl-N,O-dimethyl-,(7-1)-lactone
http://id.nlm.nih.gov/mesh/2019/C000607191 | CE-326597 | PF-00990631 | N-benzyl-2-(4-(1H-indol-3-ylmethyl)-5-oxo-1-phenyl-4,5-dihydro-6H-(1,2,4)triazolo(4,3-a)(1,5)benzodiazepin-6-yl)-N-isopropylacetamide
http://id.nlm.nih.gov/mesh/2019/C000607921 | CX-6258 | (11C)CX-6258 | 5-chloro-3-((5-(3-(4-methyl-1,4-diazepane-1-carbonyl)phenyl)furan-2-yl)methylene)indolin-2-one
http://id.nlm.nih.gov/mesh/2019/C000609083 | ARRY-470 | LOXO-101 | N-(5-(2-(2,5-difluorophenyl)pyrrolidin-1-yl)pyrazolo(1,5-a)pyrimidin-3-yl)-3-hydroxypyrrolidine-1-carboxamide
http://id.nlm.nih.gov/mesh/2019/C000609083 | ARRY-470 | larotrectinib | N-(5-(2-(2,5-difluorophenyl)pyrrolidin-1-yl)pyrazolo(1,5-a)pyrimidin-3-yl)-3-hydroxypyrrolidine-1-carboxamide
http://id.nlm.nih.gov/mesh/2019/C000608559 | Miransertib | ARQ 092 | 3-(3-(4-(1-aminocyclobutyl)phenyl)-5-phenyl-3H-imidazo(4,5-b)pyridin-2-yl)pyridin-2-amine
http://id.nlm.nih.gov/mesh/2019/C000608065 | peficitinib | ASP015K | 4-((5-hydroxy-2-adamantyl)amino)-1H-pyrrolo(2,3-b)pyridine-5-carboxamide
http://id.nlm.nih.gov/mesh/2019/C000605816 | erenumab | AMG 334 | Emgality
http://id.nlm.nih.gov/mesh/2019/C000605816 | erenumab | Aimovig | Emgality
http://id.nlm.nih.gov/mesh/2019/C000605816 | erenumab | erenumab-aooe | Emgality
http://id.nlm.nih.gov/mesh/2019/C000605816 | erenumab | fremanezumab-vfrm | Emgality
http://id.nlm.nih.gov/mesh/2019/C000605816 | erenumab | Ajovy | Emgality
http://id.nlm.nih.gov/mesh/2019/C000605816 | erenumab | galcanezumab-gnlm | Emgality
http://id.nlm.nih.gov/mesh/2019/C000611210 | SD5024 | (11C)SD5024 | 3-(4-chlorophenyl)-N-(4-cyanophenyl)sulfonyl-4-phenyl-4,5-dihydro-1H-pyrazole-1-carboxamidine
http://id.nlm.nih.gov/mesh/2019/C000611842 | ARRY-403 | AMG-151 | 15-((3-((2-methylpyridin-3-yl)oxy)-5-(pyridin-2-ylsulfanyl)pyridin-2-yl)amino)-1,2,4-thiadiazol-3-yl)ethane-1,2-diol
http://id.nlm.nih.gov/mesh/2019/C000611867 | DBT-10 | (18F)DBT-10 | 7-(1,4-diazabicyclo(3.2.2)nonan-4-yl)-2-fluorodibenzo(b,d)thiophene 5,5-dioxide
http://id.nlm.nih.gov/mesh/2019/C000611867 | DBT-10 | 7-(1,4-diazabicyclo(3.2.2)nonan-4-yl)-2-(18F)-fluorodibenzo(b,d)thiophene 5,5-dioxide | 7-(1,4-diazabicyclo(3.2.2)nonan-4-yl)-2-fluorodibenzo(b,d)thiophene 5,5-dioxide
http://id.nlm.nih.gov/mesh/2019/C000613451 | SGE-872 | 3alpha-hydroxy-3beta-methyl-21-(pyrazolo(3',4'-c)pyridin-2'-yl)-19-nor-5beta-pregnan-20-one | 3-hydroxy-3-methyl-21-(pyrazolo(3',4'-c)pyridin-2'-yl)-19-norpregnan-20-one
http://id.nlm.nih.gov/mesh/2019/C000615620 | ubrogepant | MK-1602 | 1',2',5,7-tetrahydro-N-((3S,5S,6R)-6-methyl-2-oxo-5-phenyl-1-(2,2,2-trifluoroethyl)-3-piperidinyl)-2'-oxo-, (6S)- spiro(6H-cyclopenta(b)pyridine-6,3'-(3H)pyrrolo(2,3-b)pyridine)-3-carboxamide
http://id.nlm.nih.gov/mesh/2019/C000618266 | PT-1284 | (3H)PT-1284 | 8-(2-hydroxycyclohexyl)-5-((6-methylpyridin-3-yl)methyl)-8,9-dihydro-7H-pyrrolo(3,4-h)quinolin-7-one
http://id.nlm.nih.gov/mesh/2019/C000619116 | TASP0434299 | (3H)TASP0434299 | N-tert-butyl-2-(2-(3-methoxyphenyl)-6-(3-(morpholin-4-yl)propoxy)-4-oxopyrido(2,3-d)pyrimidin-3(4H)-yl)acetamide
http://id.nlm.nih.gov/mesh/2019/C000619211 | TASP457 | 6-((1-cyclobutylpiperidin-4-yl)oxy)-1-(6-(11C)methoxypyridin-3-yl)-3,4-dihydroquinolin-2(1H)-one | 6-((1-cyclobutylpiperidin-4-yl)oxy)-1-(6-methoxypyridin-3-yl)-3,4-dihydroquinolin-2(1H)-one
http://id.nlm.nih.gov/mesh/2019/C000619211 | TASP457 | (11C)TASP457 | 6-((1-cyclobutylpiperidin-4-yl)oxy)-1-(6-methoxypyridin-3-yl)-3,4-dihydroquinolin-2(1H)-one
http://id.nlm.nih.gov/mesh/2019/C000620627 | NSI-189 | NSI-189 phosphate | (4-benzylpiperazin-1-yl)-(2-(3-methylbutylamino)pyridin-3-yl)methanone
http://id.nlm.nih.gov/mesh/2019/C000179 | N-acetylaspartate | N-acetylaspartate, monopotassium salt | N-acetylaspartic acid
http://id.nlm.nih.gov/mesh/2019/C000291 | AY 9928 | AY 9928, dihydrochloride, (cis)-isomer | N,N'-bis(1-naphthylmethyl)-1,4-cyclohexanebis(methylamine).2HCl
